SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Ek_Hizmet_Sayisi,Churn
0,0.1023712383613841,-0.5219756496159262,1701.65,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,3,0
0,-0.7117434584104956,0.3374778078243394,1151.55,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,1,0
0,-0.7931549280876836,-0.8090131942822701,590.35,True,True,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,3,0
0,-0.2639803751859618,0.2843841579438598,1905.7,False,True,False,True,False,False,False,False,True,True,False,True,True,False,True,True,True,False,False,4,0
0,-1.2816237461508113,-0.6762790695810708,44.55,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0
0,1.3642490183577978,0.48348534499565887,5196.1,True,False,True,True,False,False,False,False,True,True,True,True,True,False,True,True,True,False,False,5,0
0,-1.2816237461508113,-1.497571466169742,19.8,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0,0
0,0.30589991255435406,-0.27641751891870747,2379.1,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1,0
0,1.3235432835192036,-0.17023021915774814,3808.2,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,2,0
0,1.1200146093262338,0.5183280527297236,4847.05,False,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,False,False,4,0
1,-1.1188008067964355,-0.1669118660402181,287.85,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,3,0
0,-1.1188008067964355,-0.5153389433808665,232.55,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,1,0
0,-1.2409180113122174,-0.46390447005915153,123.05,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1,0
0,-0.10115743583158582,0.08860132400959055,2000.2,True,True,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,False,4,0
0,0.14307697319997809,1.0111034906829266,3474.2,True,True,False,True,True,True,False,False,False,False,False,True,True,False,False,True,False,True,False,2,0
0,0.9164859351332638,0.1367174442137754,3842.6,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,0,0
0,-0.06045170099299184,0.6576988836659831,2613.4,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,False,False,2,0
1,-0.1825689055087738,-0.9633166142474143,973.65,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,1,0
0,-0.6710377235719016,-1.5257774676687466,326.8,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0,0
0,-1.0780950719578415,-1.4859572302583868,130.5,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0
1,-0.22327464034736777,0.695859944517578,2220.1,True,True,False,True,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,2,0
0,1.0386031396490458,-1.3150620447055927,1474.35,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,0,0
0,1.6084834273893616,1.326347036848275,7732.65,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,False,False,5,0
0,-0.1825689055087738,-0.9682941439237093,961.4,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,2,0
0,0.30589991255435406,0.667653943018573,3355.65,True,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,2,0
0,-1.2816237461508113,-1.4743429943470319,20.5,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,1
0,-1.1188008067964355,0.5000771105833088,412.5,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,1,1
0,-1.2816237461508113,0.14169497389007057,69.2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1
0,-0.8338606629262776,1.3396204493183947,1275.65,False,False,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,True,False,4,0
0,-1.1188008067964355,1.034331962505636,453.4,True,False,False,True,False,True,False,False,False,False,True,True,True,False,False,True,False,True,False,3,1
0,1.5677776925507676,0.7024966507526377,6045.9,True,True,False,True,False,False,False,True,True,True,True,True,True,False,True,True,False,False,False,6,0
0,-1.2002122764736234,0.39886734049864436,228.4,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1
0,-0.10115743583158582,-1.5025489958460367,655.85,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,1
0,-0.30468611002455576,-1.4842980536996218,507.9,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,0,0
0,0.7943687306174818,-1.3399496930870676,1331.05,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,0
1,0.5501343215859179,1.495583045842304,4874.8,False,False,False,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,False,5,1
0,-0.9559778674420595,0.18483356441796028,597.9,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0
0,-0.5489205190561197,0.7273842991341125,1564.4,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,1,0
0,-0.8338606629262776,-0.5153389433808665,611.65,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,1,0
1,0.5094285867473239,1.1206091435614158,4525.8,True,True,False,True,True,True,False,False,True,True,True,True,False,True,False,True,False,False,False,4,0
0,0.14307697319997809,1.313073624378155,3684.95,False,True,True,True,True,True,False,True,False,True,False,True,True,False,False,True,True,False,False,4,0
0,0.22448844287716607,1.0011484313303363,3691.2,True,False,False,True,True,True,False,False,True,True,False,False,True,False,False,True,True,False,False,3,0
0,-1.2816237461508113,-1.5174815848749215,19.2,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0
0,-0.9152721326034655,1.113972437326356,1037.75,True,True,False,True,True,True,False,False,False,True,False,True,True,False,False,True,False,True,False,3,1
0,-0.7931549280876836,-0.6679831867872458,559.2,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0
0,-0.5896262538947137,0.5664441729339085,1425.45,True,False,False,True,True,False,False,False,False,True,True,True,True,True,False,True,True,False,False,4,1
0,0.18378270803857208,-0.6480730680820658,1593.1,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,3,0
0,-1.1188008067964355,-1.4793205240233267,122.0,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0,0
0,-0.8745663977648716,0.33250027814804467,815.5,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,1,1
0,1.2828375486806096,1.135541732590301,6171.2,True,False,True,True,False,True,False,False,True,False,True,True,True,False,False,True,True,False,False,4,0
0,-1.2816237461508113,-0.3112602266527725,55.55,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1,0
1,0.18378270803857208,0.9148712502745568,3473.4,True,True,False,True,True,True,False,False,False,False,False,True,True,False,False,True,False,True,False,2,1
0,0.631545791263106,1.3379612727596297,4997.5,False,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,True,False,False,4,0
1,-0.5082147842175256,0.9828974891839214,1899.65,True,True,False,True,True,True,False,False,False,False,False,True,True,False,False,True,False,True,False,2,1
0,-0.2639803751859618,0.15165003324266044,1800.05,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,3,0
0,-0.10115743583158582,-1.5108448786398618,578.5,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0,0
0,1.4863662228735797,0.06537285218688103,4577.9,False,False,False,True,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,3,0
0,1.2421318138420157,0.8120023036311275,5597.65,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,False,False,6,0
0,-1.1188008067964355,-1.5125040551986266,126.05,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,1
0,0.26519417771576004,-1.4760021709057967,790.0,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,0,0
0,-1.1595065416350294,1.2201597370873154,364.55,True,False,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,True,False,3,1
0,1.1200146093262338,1.2019087949409006,6067.4,True,True,False,True,True,True,False,False,False,True,False,True,True,False,True,False,True,False,False,3,0
0,-0.5489205190561197,1.273253386967795,2012.7,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,4,1
0,-0.8745663977648716,1.2301147964399053,1145.35,False,True,False,True,True,True,False,False,True,False,False,True,True,False,False,True,False,True,False,3,1
1,-0.06045170099299184,1.1620885575305409,3186.65,False,False,False,True,True,True,False,False,True,False,False,True,True,False,False,True,False,True,False,3,1
0,-0.10115743583158582,0.642766294637098,2438.6,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,True,True,False,False,3,0
0,0.8350744654560759,-1.3382905165283026,1279.0,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,0
0,-1.1188008067964355,0.8103431270723621,461.7,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,3,1
1,0.7536629957788878,0.4868036981131887,3974.7,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,1,0
0,1.5677776925507676,0.8086839505135972,6388.65,False,True,False,True,True,False,False,True,True,True,True,True,True,False,True,False,True,False,False,6,0
0,1.1607203441648277,-1.3250171040581826,1498.35,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,0,0
1,-0.9966836022806536,0.31756768911915967,606.55,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,1,1
0,-0.9152721326034655,-0.3311703453579522,568.85,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,2,0
0,-0.8338606629262776,-0.5004063543519814,617.15,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,3,0
